subject_id,group,session_id,threshold_type,slope_per_run_within_session,intercept,n_runs,first_run,last_run
e47,control,4,no_distractor,0.0052380952380952275,0.3339285714285715,8,1,8
e47,control,5,distractor,-0.01857142857142857,0.4233333333333334,6,1,6
e47,control,5,no_distractor,-1.1638299620940968e-17,0.3600000000000001,6,1,6
e48,control,1,distractor,0.01785714285714286,0.16833333333333342,6,1,6
e48,control,1,no_distractor,-0.0028571428571428485,0.2066666666666666,6,1,6
e48,control,2,distractor,-0.011785714285714293,0.25303571428571425,8,1,8
e48,control,2,no_distractor,0.006666666666666658,0.16500000000000006,8,1,8
e48,control,3,distractor,0.0019642857142857157,0.17928571428571424,8,1,8
e48,control,3,no_distractor,0.005238095238095239,0.21142857142857138,8,1,8
e48,control,4,distractor,-0.005714285714285702,0.19946428571428565,8,1,8
e48,control,4,no_distractor,0.006428571428571439,0.26107142857142857,8,1,8
e48,control,5,distractor,0.0022857142857142976,0.16699999999999998,6,1,6
e48,control,5,no_distractor,0.0028571428571428337,0.31666666666666676,6,1,6
e49,experimental,1,distractor,0.01971428571428573,0.16100000000000006,6,1,6
e49,experimental,1,no_distractor,0.027428571428571434,0.18733333333333332,6,1,6
e49,experimental,2,distractor,0.012678571428571421,0.30232142857142863,8,1,8
e49,experimental,2,no_distractor,-0.028928571428571404,0.3189285714285713,8,1,8
e49,experimental,3,distractor,-0.017738095238095223,0.4260714285714285,8,1,8
e49,experimental,3,no_distractor,0.01476190476190476,0.1610714285714285,8,1,8
e49,experimental,4,distractor,-0.00029761904761904423,0.3144642857142857,8,1,8
e49,experimental,4,no_distractor,0.002380952380952377,0.25428571428571434,8,1,8
e49,experimental,5,distractor,-0.00571428571428572,0.33333333333333337,6,1,6
e49,experimental,5,no_distractor,-0.004571428571428572,0.2993333333333334,6,1,6
e50,control,1,distractor,0.00714285714285714,0.19333333333333336,6,1,6
e50,control,1,no_distractor,0.01657142857142859,0.1853333333333334,6,1,6
e50,control,2,distractor,-0.0037499999999999903,0.24374999999999988,8,1,8
e50,control,2,no_distractor,0.020238095238095246,0.25392857142857134,8,1,8
e50,control,3,distractor,-0.00505952380952381,0.2196428571428571,8,1,8
e50,control,3,no_distractor,-0.00928571428571427,0.41678571428571415,8,1,8
e50,control,4,distractor,-0.002738095238095235,0.2310714285714286,8,1,8
e50,control,4,no_distractor,0.012619047619047617,0.3382142857142857,8,1,8
e50,control,5,distractor,-0.007857142857142858,0.21833333333333338,6,1,6
e50,control,5,no_distractor,-0.02285714285714288,0.47333333333333355,6,1,6
e51,experimental,1,distractor,0.01571428571428572,0.20166666666666677,6,1,6
